,data,hora,time_casa,time_visitante,casa_ganha,empate,visitante_ganha,maisq,menosq,simodd,nãoodd
43,1900-02-05,09:00,Clermont,Monaco,4.0,3.85,1.85,1.75,2.1,1.7,2.12
44,1900-02-05,11:00,AJ Auxerre,Stade de Reims,3.35,3.35,2.2,2.1,1.75,1.83,1.91
45,1900-02-05,11:00,FC Lorient,Angers,2.05,3.5,3.6,1.98,1.83,1.8,1.95
46,1900-02-05,11:00,AC Ajaccio,Nantes,2.75,3.1,2.75,2.47,1.55,2.02,1.75
47,1900-02-05,11:00,Estrasburgo,Montpellier,2.0,3.2,4.25,1.98,1.83,1.75,2.02
48,1900-02-05,13:05,Brestois,Lens,4.5,3.65,1.8,1.95,1.87,1.83,1.91
49,1900-02-05,16:45,Olympique de Marseille,Nice,1.7,3.85,5.0,1.88,1.93,1.83,1.91
51,1900-02-01,14:00,Fiorentina,Torino,2.05,3.35,3.8,2.18,1.7,1.91,1.83
52,1900-02-01,17:00,Roma,US Cremonese,1.42,4.65,7.4,1.82,2.0,2.05,1.72
53,1900-02-02,17:00,Juventus FC,Lázio,2.15,3.35,3.55,2.1,1.75,1.85,1.9
54,1900-02-01,17:00,Bétis,Barcelona,5.0,3.85,1.7,1.83,1.98,1.8,1.95
55,1900-02-02,17:00,Real Madrid,Valencia,1.45,4.8,6.6,1.62,2.3,1.8,1.93
56,1900-02-03,17:00,Athletic Bilbao,Cádiz CF,1.45,4.3,7.6,2.02,1.8,2.25,1.6
57,1900-02-04,10:00,Espanyol,Osasuna,2.45,3.05,3.2,2.55,1.52,2.07,1.7
58,1900-02-04,12:15,Elche,Villarreal CF,4.75,3.85,1.72,1.9,1.91,1.83,1.91
59,1900-02-04,14:30,Atlético de Madrid,Getafe CF,1.45,4.0,9.0,2.47,1.55,2.75,1.42
60,1900-02-04,17:00,Bétis,Celta de Vigo,2.22,3.2,3.45,2.37,1.6,2.0,1.75
61,1900-02-05,10:00,Mallorca,Real Madrid,5.2,3.6,1.72,2.15,1.72,2.0,1.75
62,1900-02-05,12:15,Girona FC,Valencia,2.22,3.25,3.4,2.0,1.82,1.75,2.0
63,1900-02-05,14:30,Real Sociedad,Real Valladolid,1.44,4.4,8.0,1.95,1.85,2.15,1.65
64,1900-02-05,17:00,Barcelona,Sevilha FC,1.34,5.2,8.75,1.6,2.35,1.93,1.8
65,1900-02-06,17:00,Rayo Vallecano,UD Almería,1.75,3.65,4.8,2.0,1.82,1.9,1.83
